trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
a75dc_00000,0.05600511436620034,74.69631661442007,34.60667037963867,True,True,,,4,67c05a95d49c4e7a9664d4efc76b6037,2022-08-23_10-45-55,1661244355,147.41253328323364,12134,administrador,10.68.58.17,147.41253328323364,0,4,0.0017571449279785156,"0_batch_size=64,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0001",4,1e-06,5e-05,64,"(0.9, 0.999)"
a75dc_00001,0.06678028983518113,71.58601097178683,33.61589002609253,True,True,,,5,705708e630a44ea28a025b1f38180df7,2022-08-23_10-46-26,1661244386,177.1840374469757,12166,administrador,10.68.58.17,177.1840374469757,0,5,0.001798868179321289,"1_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-08,5e-05,64,"(0.9, 0.98)"
a75dc_00002,0.055187838136657216,72.55094043887146,34.83476948738098,True,True,,,4,228823fbafdc49a4adacc5d44e5e268e,2022-08-23_10-48-27,1661244507,149.1255955696106,12265,administrador,10.68.58.17,149.1255955696106,0,4,0.0018239021301269531,"2_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,64,"(0.9, 0.98)"
a75dc_00003,0.02560025552087579,71.9951923076923,37.97443866729736,True,True,,,2,82b082ab02994762817776c40578df96,2022-08-23_10-47-54,1661244474,85.59724998474121,12309,administrador,10.68.58.17,85.59724998474121,0,2,0.0017838478088378906,"3_batch_size=32,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,3e-05,32,"(0.9, 0.999)"
a75dc_00004,0.025802558364946982,72.56337412587412,39.13373279571533,True,True,,,3,2e1e17f4141d4b9da55bd5755e9c9b6b,2022-08-23_10-50-02,1661244602,125.65055537223816,12367,administrador,10.68.58.17,125.65055537223816,0,3,0.0017573833465576172,"4_batch_size=32,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,32,"(0.9, 0.98)"
a75dc_00005,0.012911625375801867,73.89204545454545,48.271626472473145,True,True,,,3,df112436ae9a46749469914e135ed648,2022-08-23_10-51-03,1661244663,153.70276474952698,12414,administrador,10.68.58.17,153.70276474952698,0,3,0.0018546581268310547,"5_batch_size=16,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,16,"(0.9, 0.999)"
a75dc_00006,0.02399666583519583,70.39772727272727,47.19625210762024,True,True,,,5,dae21d8cd4414011af4a4309d7c6d566,2022-08-23_10-54-08,1661244848,244.06743693351746,12493,administrador,10.68.58.17,244.06743693351746,0,5,0.0018436908721923828,"6_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-06,5e-05,16,"(0.9, 0.999)"
a75dc_00007,0.052647969939491966,73.58934169278997,35.56415915489197,True,True,,,4,ff18c0ca0d1643f2bc0c672acc7e6233,2022-08-23_10-53-36,1661244816,150.92448019981384,12544,administrador,10.68.58.17,150.92448019981384,0,4,0.0017437934875488281,"7_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,2e-05,64,"(0.9, 0.98)"
a75dc_00008,0.05101525857428874,72.83503134796238,35.48093032836914,True,True,,,3,a95ef4b73ead434ca71bad7a60222c13,2022-08-23_10-55-34,1661244934,115.44764852523804,12628,administrador,10.68.58.17,115.44764852523804,0,3,0.002938508987426758,"8_batch_size=64,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-08,3e-05,64,"(0.9, 0.98)"
a75dc_00009,0.016363278277649367,71.05113636363636,46.90114188194275,True,True,,,5,29d672f465f8405db810a49b4fc9873c,2022-08-23_10-58-15,1661245095,244.37228274345398,12675,administrador,10.68.58.17,244.37228274345398,0,5,0.002103567123413086,"9_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,3e-05,16,"(0.9, 0.999)"
