trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
6a254_00000,0.05994360148906708,76.41225961538463,31.593552112579346,True,True,,,4,4dddb12a3cdd405f883e5ef35532e62b,2022-08-23_10-22-30,1661242950,133.9756383895874,10144,administrador,10.68.58.17,133.9756383895874,0,4,0.0018706321716308594,"0_batch_size=96,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,2e-05,96,"(0.9, 0.999)"
6a254_00001,0.06304366607218981,76.10176282051282,32.76706528663635,True,True,,,5,6959616e16d14bcb9cd1c2a0af5ff80e,2022-08-23_10-23-08,1661242988,170.52707052230835,10175,administrador,10.68.58.17,170.52707052230835,0,5,0.002028942108154297,"1_batch_size=96,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,2e-05,96,"(0.9, 0.98)"
6a254_00002,0.06783976033329964,76.10176282051282,31.74293351173401,True,True,,,4,ad429456059d476cacb637e0f5cb7999,2022-08-23_10-24-46,1661243086,133.7934010028839,10342,administrador,10.68.58.17,133.7934010028839,0,4,0.0017888545989990234,"2_batch_size=96,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,4e-05,96,"(0.9, 0.98)"
6a254_00003,0.04557430448610921,76.61148119122257,35.17151236534119,True,True,,,2,3547e232ac7a41b48a3fd54741d84aac,2022-08-23_10-24-28,1661243068,77.92636799812317,10401,administrador,10.68.58.17,77.92636799812317,0,2,0.001966238021850586,"3_batch_size=64,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,4e-05,64,"(0.9, 0.999)"
6a254_00004,0.04506621651413027,76.49882445141066,35.4646270275116,True,True,,,3,272381547e8844aea22d106b8d9833f5,2022-08-23_10-26-24,1661243184,113.90800023078918,10480,administrador,10.68.58.17,113.90800023078918,0,3,0.0016589164733886719,"4_batch_size=64,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,3e-05,64,"(0.9, 0.98)"
6a254_00005,0.02741558172486045,76.47508741258741,38.644654989242554,True,True,,,5,8b981b224bc5423aac40410d991e7bfc,2022-08-23_10-28-09,1661243289,200.76119303703308,10536,administrador,10.68.58.17,200.76119303703308,0,5,0.0017435550689697266,"5_batch_size=32,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,2e-05,32,"(0.9, 0.98)"
6a254_00006,0.022711369309050978,76.36582167832168,41.842156648635864,True,True,,,3,ad8623041c224690bde2ce7be3d7a5d3,2022-08-23_10-28-37,1661243317,131.250559091568,10655,administrador,10.68.58.17,131.250559091568,0,3,0.001888275146484375,"6_batch_size=32,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,2e-05,32,"(0.9, 0.999)"
6a254_00007,0.053363441682058914,75.4898119122257,34.5611629486084,True,True,,,4,008203bd32994f7bad1608ece6ce681e,2022-08-23_10-30-36,1661243436,145.11388230323792,11012,administrador,10.68.58.17,145.11388230323792,0,4,0.0016963481903076172,"7_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,4e-05,64,"(0.9, 0.98)"
6a254_00008,0.06291515669546836,75.77390282131661,35.09366273880005,True,True,,,5,071314bd53bf4beca20b47b19a139777,2022-08-23_10-31-46,1661243506,187.02086281776428,11112,administrador,10.68.58.17,187.02086281776428,0,5,0.0017750263214111328,"8_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,4e-05,64,"(0.9, 0.98)"
6a254_00009,0.06766540184617043,75.63100961538461,31.761314630508423,True,True,,,4,4bf8669084a34bc182608800205a6ca9,2022-08-23_10-32-53,1661243573,135.39331007003784,11367,administrador,10.68.58.17,135.39331007003784,0,4,0.0018475055694580078,"9_batch_size=96,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,4e-05,96,"(0.9, 0.98)"
