trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
4df5f_00000,0.046224173928095295,77.82131661442007,35.967891693115234,True,True,,,4,36bae5b4ec4f4c32a3311dc375c8d386,2022-08-23_10-00-31,1661241631,151.06895303726196,8028,administrador,10.68.58.17,151.06895303726196,0,4,0.0017507076263427734,"0_batch_size=64,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,1e-05,64,"(0.9, 0.999)"
4df5f_00001,0.047283667178193406,78.0907131661442,34.18775272369385,True,True,,,5,4795d689796f4eca8d50d947f23397e6,2022-08-23_10-01-01,1661241661,178.74559092521667,8061,administrador,10.68.58.17,178.74559092521667,0,5,0.001802682876586914,"1_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,1e-05,64,"(0.9, 0.98)"
4df5f_00002,0.050520342243604424,79.08503134796238,35.92593598365784,True,True,,,4,670782ba4e6b497b9acb3178b8aa3615,2022-08-23_10-03-06,1661241786,152.6276891231537,8556,administrador,10.68.58.17,152.6276891231537,0,4,0.0018219947814941406,"2_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,64,"(0.9, 0.98)"
4df5f_00003,0.02239990283635037,78.1687062937063,39.06109261512756,True,True,,,2,019b651556a44cbaa771aa3f99ea415a,2022-08-23_10-02-30,1661241750,86.75507283210754,8839,administrador,10.68.58.17,86.75507283210754,0,2,0.0020394325256347656,"3_batch_size=32,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,3e-05,32,"(0.9, 0.999)"
4df5f_00004,0.02323083320925058,78.92263986013985,39.206721782684326,True,True,,,3,d3d02a880aa5409685ebabebc21487e0,2022-08-23_10-04-38,1661241878,126.20624208450317,8928,administrador,10.68.58.17,126.20624208450317,0,3,0.0018339157104492188,"4_batch_size=32,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,2e-05,32,"(0.9, 0.98)"
4df5f_00005,0.013414201419030831,79.0340909090909,49.315292835235596,True,True,,,5,b4818fcebd24476bba6a864da6f5f62a,2022-08-23_10-07-29,1661242049,261.03418588638306,8974,administrador,10.68.58.17,261.03418588638306,0,5,0.0019421577453613281,"5_batch_size=16,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,1e-05,16,"(0.9, 0.98)"
4df5f_00006,0.011311931789598682,79.17613636363636,48.372281551361084,True,True,,,3,27537faf611b4a37a85b517c7e5436c4,2022-08-23_10-07-14,1661242034,153.64375734329224,9036,administrador,10.68.58.17,153.64375734329224,0,3,0.0019991397857666016,"6_batch_size=16,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,1e-05,16,"(0.9, 0.999)"
4df5f_00007,0.03211825907476678,77.9611013986014,39.88325071334839,True,True,,,4,0960b7e9aa4f43918520ca84500e9e48,2022-08-23_10-10-03,1661242203,167.22860383987427,9146,administrador,10.68.58.17,167.22860383987427,0,4,0.001977682113647461,"7_batch_size=32,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,32,"(0.9, 0.98)"
4df5f_00008,0.03328769820288193,79.2395104895105,42.95563364028931,True,True,,,5,53d2b524e3b7406283a376f5030ea4ff,2022-08-23_10-11-12,1661242272,220.52986788749695,9186,administrador,10.68.58.17,220.52986788749695,0,5,0.0017600059509277344,"8_batch_size=32,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,3e-05,32,"(0.9, 0.98)"
4df5f_00009,0.050729017119762326,78.830329153605,34.90338468551636,True,True,,,4,1b1410d4197b4ec2b20cccbc0b38e5cd,2022-08-23_10-12-32,1661242352,147.22703742980957,9328,administrador,10.68.58.17,147.22703742980957,0,4,0.001856088638305664,"9_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,3e-05,64,"(0.9, 0.98)"
