trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
dc6ec_00000,0.046440836880033816,73.03921568627452,91.19751715660095,True,True,,,4,9b1e1173cc69484f8762296a1c89b042,2022-08-30_11-54-01,1661853241,347.1431224346161,457586,administrador,10.68.58.17,347.1431224346161,0,4,0.0018734931945800781,"0_batch_size=64,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0001",4,1e-06,5e-05,64,"(0.9, 0.999)"
dc6ec_00001,0.04569706289825967,76.74632352941177,51.876572370529175,True,True,,,5,7c9bc87d606346a3b4fa14e71aa1804a,2022-08-30_11-56-05,1661853365,468.4544003009796,458142,administrador,10.68.58.17,468.4544003009796,0,5,0.0019004344940185547,"1_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-08,5e-05,64,"(0.9, 0.98)"
dc6ec_00002,0.054598103963792534,66.94240196078431,51.82099771499634,True,True,,,4,7f115496ec8143caa6c54385581dee18,2022-08-30_11-58-31,1661853511,267.45688581466675,459772,administrador,10.68.58.17,267.45688581466675,0,4,0.0017654895782470703,"2_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,64,"(0.9, 0.98)"
dc6ec_00003,0.029541695577710785,64.8989898989899,56.92062258720398,True,True,,,2,7b55a516ea71475cbec050f261155661,2022-08-30_11-58-09,1661853489,121.958993434906,459929,administrador,10.68.58.17,121.958993434906,0,2,0.0017576217651367188,"3_batch_size=32,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,3e-05,32,"(0.9, 0.999)"
dc6ec_00004,0.02626713122437042,70.23358585858587,57.04611420631409,True,True,,,3,6d76281d00c147c897a54fa103b00827,2022-08-30_12-01-11,1661853671,178.93822312355042,460093,administrador,10.68.58.17,178.93822312355042,0,3,0.002043008804321289,"4_batch_size=32,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,32,"(0.9, 0.98)"
dc6ec_00005,0.012403919114869022,74.71153846153847,70.80576705932617,True,True,,,3,3636dbb81b9048eb8e36b48a88c24d52,2022-08-30_12-02-15,1661853735,221.22497749328613,460170,administrador,10.68.58.17,221.22497749328613,0,3,0.0017156600952148438,"5_batch_size=16,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,16,"(0.9, 0.999)"
dc6ec_00006,0.013820672171554093,83.49358974358974,68.82216691970825,True,True,,,5,dd77fb4a130d497cabdfa1dcea6462d4,2022-08-30_12-07-05,1661854025,352.8624789714813,460286,administrador,10.68.58.17,352.8624789714813,0,5,0.001695871353149414,"6_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-06,5e-05,16,"(0.9, 0.999)"
dc6ec_00007,0.05802963637975673,63.63357843137254,51.69134473800659,True,True,,,4,fd4e4b0fd6ae46fa943a06c74235c69c,2022-08-30_12-05-53,1661853953,215.88869500160217,460382,administrador,10.68.58.17,215.88869500160217,0,4,0.001819610595703125,"7_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,2e-05,64,"(0.9, 0.98)"
dc6ec_00008,0.05627428474723262,65.19607843137254,52.52621507644653,True,True,,,3,f9432a3f7914493fb94c1c2960743e82,2022-08-30_12-08-41,1661854121,165.02585864067078,460509,administrador,10.68.58.17,165.02585864067078,0,3,0.0018939971923828125,"8_batch_size=64,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-08,3e-05,64,"(0.9, 0.98)"
dc6ec_00009,0.013550071536436588,78.26923076923077,69.24399304389954,True,True,,,5,e3693d53a6d148c8ac9b177d942a1a29,2022-08-30_12-13-02,1661854382,354.42423844337463,460603,administrador,10.68.58.17,354.42423844337463,0,5,0.0017199516296386719,"9_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,3e-05,16,"(0.9, 0.999)"
