trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
aa0e8_00000,0.058030863121719095,64.5220588235294,52.005115032196045,True,True,,,4,0a08c7df9a3e4505a70bc65abb8afb7f,2022-08-30_14-13-35,1661861615,215.56320810317993,465920,administrador,10.68.58.17,215.56320810317993,0,4,0.002089977264404297,"0_batch_size=64,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,1e-05,64,"(0.9, 0.999)"
aa0e8_00001,0.05427501708990975,67.46323529411765,50.46134042739868,True,True,,,5,bf9a2b4a428c446d924bfc55009a0b61,2022-08-30_14-14-20,1661861660,258.81248235702515,465955,administrador,10.68.58.17,258.81248235702515,0,5,0.0017113685607910156,"1_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,1e-05,64,"(0.9, 0.98)"
aa0e8_00002,0.05155947072283207,70.64950980392157,51.83267855644226,True,True,,,4,e9ae3f270ced4f4082bbc9316d8a259a,2022-08-30_14-17-15,1661861835,217.81828546524048,466115,administrador,10.68.58.17,217.81828546524048,0,4,0.001745462417602539,"2_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,64,"(0.9, 0.98)"
aa0e8_00003,0.02644064724171676,70.23358585858587,58.229140520095825,True,True,,,2,f558a7a3fef3409aa1045f9a030560b2,2022-08-30_14-16-27,1661861787,125.38662552833557,466186,administrador,10.68.58.17,125.38662552833557,0,2,0.0017902851104736328,"3_batch_size=32,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,3e-05,32,"(0.9, 0.999)"
aa0e8_00004,0.027422547449859815,69.16035353535354,58.731009006500244,True,True,,,3,7ddf6852970441bc8866d415821fa13a,2022-08-30_14-19-35,1661861975,185.03614258766174,466283,administrador,10.68.58.17,185.03614258766174,0,3,0.001735687255859375,"4_batch_size=32,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,2e-05,32,"(0.9, 0.98)"
aa0e8_00005,0.013814139768216736,70.8974358974359,73.10903930664062,True,True,,,5,b562508f103d4fbf9cf2f73fd22fdd0b,2022-08-30_14-23-31,1661862211,374.26643347740173,466352,administrador,10.68.58.17,374.26643347740173,0,5,0.001729726791381836,"5_batch_size=16,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,1e-05,16,"(0.9, 0.98)"
aa0e8_00006,0.014140954370329367,67.59615384615384,71.83570384979248,True,True,,,3,ab9ab604468040ceb20534f81d6320ed,2022-08-30_14-23-22,1661862202,224.71494889259338,466442,administrador,10.68.58.17,224.71494889259338,0,3,0.0017499923706054688,"6_batch_size=16,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,1e-05,16,"(0.9, 0.999)"
aa0e8_00007,0.026599427392660094,73.89520202020202,59.38580107688904,True,True,,,4,8e00b83ccdea45bdb126286799a0eac4,2022-08-30_14-27-30,1661862450,245.93216109275818,466570,administrador,10.68.58.17,245.93216109275818,0,4,0.0017366409301757812,"7_batch_size=32,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,32,"(0.9, 0.98)"
aa0e8_00008,0.026839569744656566,75.53661616161617,62.55415344238281,True,True,,,5,0f28ac96266946e7aa30f0df06046948,2022-08-30_14-28-53,1661862533,319.307745218277,466622,administrador,10.68.58.17,319.307745218277,0,5,0.002109527587890625,"8_batch_size=32,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-06,3e-05,32,"(0.9, 0.98)"
aa0e8_00009,0.05267206484058736,68.4436274509804,51.03664827346802,True,True,,,4,910830417be04f9f99863224d5247e03,2022-08-30_14-31-06,1661862666,213.78633332252502,466740,administrador,10.68.58.17,213.78633332252502,0,4,0.0027413368225097656,"9_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-06,3e-05,64,"(0.9, 0.98)"
